BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
β Scuti,,0.019,52.632,6.13,4.22,5.32,5600.0,18.786,-3.252,18h 47m 10.5s,-04° 44′ 52″,0.99,1.36,1.03,769.3818561968061,0.4939
θ Cephei,,0.038,26.316,4.58,4.22,4.42,8250.0,20.493,62.994,20h 29m 34.9s,+62° 59′ 39″,0.65,0.64,0.61,12083.839490334181,44.3129
ε Ursae Minoris,,0.01,100.0,5.67,4.23,5.12,5500.0,16.766,82.037,16h 45m 58.1s,+82° 02′ 14″,1.3,1.42,1.19,13431.95840161442,0.7704
χ Cygni,,0.012,83.333,7.01,4.23,6.05,2600.0,19.843,32.914,19h 50m 33.9s,+32° 54′ 51″,38.74,21.14,21.09,7369.712784142752,0.0005
,,,,6.79,4.25,5.46,4700.0,1.146,86.257,01h 08m 44.7s,+86° 15′ 25″,1.44,2.12,1.69,13533.803275409433,1.3181
,,0.019,52.632,7.39,4.25,5.69,4400.0,14.459,75.696,14h 27m 31.5s,+75° 41′ 46″,1.45,2.58,1.92,13142.268564092337,0.3077
φ Herculis,,0.02,50.0,3.91,4.26,4.19,12000.0,16.146,44.935,16h 08m 46.2s,+44° 56′ 06″,0.42,0.38,0.37,9579.415061667207,71.6056
ο Serpentis,,0.006,166.667,4.44,4.26,4.34,9500.0,17.69,-11.125,17h 41m 24.9s,-12° 52′ 31″,0.51,0.5,0.49,2616.9310966599733,54.3485
φ Ophiuchi,,0.014,71.429,5.92,4.28,5.2,5200.0,16.519,-15.387,16h 31m 08.3s,-16° 36′ 46″,1.43,1.59,1.36,3598.700055106501,1.0689
,,0.017,58.824,7.49,4.29,5.77,4550.0,9.618,81.326,09h 37m 05.2s,+81° 19′ 35″,1.2,2.29,1.64,13407.609072154444,0.9805
ν Cephei,,0.013,76.923,4.94,4.29,4.81,9500.0,21.757,61.121,21h 45m 26.9s,+61° 07′ 15″,0.4,0.5,0.4,11876.093981446122,60.5441
ξ Cephei,Kurhah,0.032,31.25,4.72,4.29,4.63,9250.0,22.063,64.628,22h 03m 47.4s,+64° 37′ 40″,0.47,0.52,0.45,12254.537681236452,58.7952
δ² Lyrae,,-0.001,-1000.0,7.63,4.3,5.98,2900.0,18.908,36.899,18h 54m 30.2s,+36° 53′ 56″,13.26,12.05,11.4,8143.150420778056,0.0031
,,0.021,47.619,4.49,4.3,4.41,9250.0,20.223,56.568,20h 13m 23.9s,+56° 34′ 04″,0.52,0.51,0.5,11318.647801056355,58.4099
μ¹ Boötis,Alkalurops,0.039,25.641,4.69,4.31,4.62,7200.0,15.408,37.377,15h 24m 29.4s,+37° 22′ 38″,0.88,0.77,0.75,8233.351067105688,22.4886
ζ Ursae Minoris,,0.016,62.5,4.41,4.32,4.36,9250.0,15.734,77.794,15h 44m 03.5s,+77° 47′ 40″,0.54,0.51,0.51,13256.131428094555,61.643
ν Serpentis,,0.028,35.714,4.41,4.33,4.36,9500.0,17.347,-11.153,17h 20m 49.7s,-12° 50′ 49″,0.51,0.49,0.49,2623.434236374614,55.6545
κ Lyrae,,0.011,90.909,6.69,4.33,5.5,4700.0,18.331,36.064,18h 19m 51.7s,+36° 03′ 52″,1.5,2.05,1.66,7984.2263466293425,0.7808
σ Ophiuchi,,0.008,125.0,7.46,4.34,5.84,4700.0,17.442,4.14,17h 26m 30.9s,+04° 08′ 25″,1.05,2.04,1.42,979.1449142291037,0.5405
,,-0.01,-100.0,3.39,4.36,4.2,26000.0,18.146,20.814,18h 08m 45.5s,+20° 48′ 52″,0.22,0.2,0.18,4819.319091624635,87.6361
δ Ursae Minoris,Yildun,0.004,250.0,4.41,4.36,4.38,9750.0,17.537,86.586,17h 32m 12.9s,+86° 35′ 11″,0.49,0.46,0.46,13538.664166711762,67.9379
ζ¹ Lyrae,,0.031,32.258,4.71,4.36,4.55,9000.0,18.746,37.605,18h 44m 46.4s,+37° 36′ 18″,0.5,0.52,0.49,8276.174172715631,52.3554
,,0.032,31.25,4.56,4.36,4.49,8750.0,18.784,18.181,18h 47m 01.3s,+18° 10′ 53″,0.57,0.54,0.53,4231.842572880078,43.8155
θ Lyrae,,0.013,76.923,6.85,4.36,5.62,5000.0,19.273,38.134,19h 16m 22.1s,+38° 08′ 01″,1.09,1.7,1.27,8375.02536125497,1.5019
α Sagittae,Sham,0.0,,5.58,4.37,5.15,5900.0,19.668,18.014,19h 40m 05.8s,+18° 00′ 50″,1.07,1.13,0.96,4194.266929362697,0.8732
β Sagittae,,0.011,90.909,6.31,4.37,5.42,5200.0,19.684,17.476,19h 41m 02.9s,+17° 28′ 34″,1.2,1.53,1.23,4072.9741665237316,1.3225
ι Ophiuchi,,0.029,34.483,3.98,4.38,4.3,14000.0,16.9,10.165,16h 54m 00.5s,+10° 09′ 55″,0.32,0.3,0.29,2393.5986923840705,75.8354
η Lyrae,Aladfar,0.002,500.0,3.59,4.39,4.24,26000.0,19.229,39.146,19h 13m 45.5s,+39° 08′ 46″,0.2,0.2,0.17,8562.13563019546,88.9796
κ Cephei,,0.001,1000.0,4.23,4.39,4.34,12000.0,20.148,77.711,20h 08m 53.3s,+77° 42′ 41″,0.36,0.35,0.34,13251.963549538872,78.6771
,,0.025,40.0,6.32,4.4,5.44,5000.0,15.048,2.091,15h 02m 54.0s,+02° 05′ 29″,1.39,1.67,1.38,494.85986417972225,1.3229
λ Herculis,Maasym,0.016,62.5,7.53,4.41,5.85,4550.0,17.512,26.111,17h 30m 44.3s,+26° 06′ 38″,1.17,2.17,1.58,5969.116100610194,0.2349
ν Herculis,,0.007,142.857,4.95,4.41,4.8,7200.0,17.975,30.189,17h 58m 30.2s,+30° 11′ 22″,0.78,0.74,0.69,6820.075086695797,23.3055
π Cephei,,0.006,166.667,5.67,4.41,5.21,5800.0,23.132,75.388,23h 07m 53.9s,+75° 23′ 15″,1.08,1.15,0.98,13124.065621781245,5.9456
